State,Agricultural_Land_Hectares,Crop_Production_Tonnes,Irrigation_Area_Hectares,Farmers,Average_Land_Holding,Food_Grain_Production,Rice_Production,Wheat_Production
Andhra Pradesh,8900000,45678000,5678000,8900000,1.2,23456789,15678901,2345678
Arunachal Pradesh,234000,1234000,89000,234000,1.8,567890,456789,89012
Assam,3456000,17890000,1234000,3456000,1.4,8901234,6789012,890123
Bihar,5678000,28900000,2345000,5678000,0.8,15678901,12345678,2345678
Chhattisgarh,4567000,23450000,1789000,4567000,1.6,12345678,8901234,2345678
Goa,89000,456000,67000,89000,1.2,234567,189012,34567
Gujarat,6789000,34560000,2890000,6789000,2.1,18901234,12345678,4567890
Haryana,2345000,12340000,890000,2345000,2.8,5678901,2345678,2345678
Himachal Pradesh,890000,4567000,345000,890000,1.4,2345678,1234567,890123
Jharkhand,2345000,12340000,890000,2345000,1.2,5678901,3456789,1234567
Karnataka,5678000,28900000,2345000,5678000,1.8,12345678,8901234,2345678
Kerala,890000,4567000,345000,890000,0.6,2345678,1890123,345678
Madhya Pradesh,8900000,45678000,3456000,8900000,2.4,23456789,12345678,8901234
Maharashtra,12340000,67890000,5678000,12340000,2.1,34567890,23456789,8901234
Manipur,234000,1234000,89000,234000,1.1,567890,456789,89012
Meghalaya,345000,1789000,123000,345000,1.3,890123,678901,123456
Mizoram,123000,670000,45000,123000,1.5,234567,189012,34567
Nagaland,234000,1234000,89000,234000,1.7,567890,456789,89012
Odisha,5678000,28900000,2345000,5678000,1.3,12345678,8901234,2345678
Punjab,2345000,12340000,890000,2345000,3.8,5678901,2345678,2345678
Rajasthan,8900000,45678000,3456000,8900000,3.2,23456789,12345678,8901234
Sikkim,89000,456000,67000,89000,1.6,234567,189012,34567
Tamil Nadu,5678000,28900000,2345000,5678000,1.1,12345678,8901234,2345678
Telangana,4567000,23450000,1789000,4567000,1.9,12345678,8901234,2345678
Tripura,234000,1234000,89000,234000,1.0,567890,456789,89012
Uttar Pradesh,16780000,89000000,6789000,16780000,1.2,45678901,23456789,17890123
Uttarakhand,890000,4567000,345000,890000,1.5,2345678,1234567,890123
West Bengal,5678000,28900000,2345000,5678000,1.0,12345678,8901234,2345678
Delhi,89000,456000,67000,89000,0.8,234567,189012,34567
Jammu and Kashmir,567000,2890000,234000,567000,1.4,1234567,890123,234567
Ladakh,89000,456000,67000,89000,1.8,234567,189012,34567
Chandigarh,12000,67000,8900,12000,1.2,34567,23456,8901
Dadra and Nagar Haveli,45000,234000,34000,45000,1.6,123456,89012,23456
Daman and Diu,23000,123000,18000,23000,1.4,67890,45678,12345
Lakshadweep,12000,67000,8900,12000,1.0,23456,18901,3456
Puducherry,67000,345000,45000,67000,1.1,89012,67890,12345
Andaman and Nicobar Islands,45000,234000,34000,45000,1.7,123456,89012,23456
