State,Total_Schools,Primary_Schools,Secondary_Schools,Enrollment_Rate,Literacy_Rate,Teachers,Students_per_Teacher
Andhra Pradesh,45678,23456,22222,94.2,67.02,234567,25.3
Arunachal Pradesh,2345,1234,1111,89.5,65.38,12345,18.9
Assam,34567,17890,16677,92.8,72.19,189234,22.1
Bihar,67890,34567,33323,88.9,61.80,345678,28.5
Chhattisgarh,23456,12345,11111,91.7,70.28,123456,24.8
Goa,1234,678,556,96.3,87.40,6789,15.2
Gujarat,45678,23456,22222,93.8,78.03,234567,23.9
Haryana,23456,12345,11111,92.1,75.55,123456,26.4
Himachal Pradesh,5678,2890,2788,95.1,82.80,28901,19.8
Jharkhand,23456,12345,11111,89.7,66.41,123456,27.2
Karnataka,45678,23456,22222,93.4,75.36,234567,24.1
Kerala,23456,12345,11111,96.8,94.00,123456,18.9
Madhya Pradesh,45678,23456,22222,90.5,69.32,234567,26.8
Maharashtra,67890,34567,33323,93.2,82.34,345678,24.5
Manipur,3456,1789,1667,92.1,76.94,17890,20.3
Meghalaya,2345,1234,1111,91.8,74.43,12345,21.7
Mizoram,1234,678,556,95.2,91.33,6789,16.8
Nagaland,2345,1234,1111,90.8,79.55,12345,22.4
Odisha,34567,17890,16677,91.2,72.87,178901,25.6
Punjab,23456,12345,11111,93.4,75.84,123456,24.2
Rajasthan,45678,23456,22222,89.8,66.11,234567,27.9
Sikkim,1234,678,556,94.8,81.42,6789,17.5
Tamil Nadu,45678,23456,22222,94.1,80.09,234567,23.4
Telangana,34567,17890,16677,91.9,66.46,178901,25.8
Tripura,2345,1234,1111,93.7,87.22,12345,19.2
Uttar Pradesh,89012,45678,43334,88.5,67.68,456789,29.8
Uttarakhand,12345,6789,5556,94.2,78.82,67890,20.1
West Bengal,45678,23456,22222,92.6,76.26,234567,24.9
Delhi,12345,6789,5556,96.8,86.21,67890,18.5
Jammu and Kashmir,23456,12345,11111,91.2,67.16,123456,25.3
Ladakh,567,289,278,94.5,77.20,2890,16.9
Chandigarh,1234,678,556,96.2,86.05,6789,17.8
Dadra and Nagar Haveli,567,289,278,92.8,76.24,2890,19.6
Daman and Diu,234,123,111,94.1,87.10,1234,15.9
Lakshadweep,123,67,56,95.8,91.85,678,14.2
Puducherry,1234,678,556,94.7,85.44,6789,18.3
Andaman and Nicobar Islands,234,123,111,93.9,86.27,1234,16.7
