State,GDP_Growth_Rate,Per_Capita_Income,Unemployment_Rate,Inflation_Rate,GSDP_2023,Primary_Sector,Secondary_Sector,Tertiary_Sector
Andhra Pradesh,7.2,185000,6.1,5.8,8500000,25.3,32.1,42.6
Arunachal Pradesh,6.8,165000,7.2,6.1,320000,28.5,15.2,56.3
Assam,6.9,145000,6.8,5.9,4200000,25.8,23.4,50.8
Bihar,7.1,85000,8.5,6.2,7800000,22.1,18.9,59.0
Chhattisgarh,7.5,125000,5.9,5.7,3800000,24.6,35.2,40.2
Goa,6.7,285000,4.2,5.3,850000,8.5,45.2,46.3
Gujarat,8.3,195000,4.9,5.4,12500000,18.2,45.8,36.0
Haryana,7.8,225000,5.2,5.5,8500000,15.8,35.6,48.6
Himachal Pradesh,6.9,185000,6.5,5.8,1800000,18.5,42.3,39.2
Jharkhand,6.8,115000,7.1,6.0,3200000,18.9,38.5,42.6
Karnataka,7.5,198000,5.5,5.7,18500000,15.2,28.9,55.9
Kerala,6.9,185000,7.2,6.3,8500000,12.8,25.6,61.6
Madhya Pradesh,7.2,125000,6.2,5.9,12000000,26.5,28.9,44.6
Maharashtra,8.1,225000,5.2,5.5,32000000,12.8,31.2,56.0
Manipur,6.5,125000,7.8,6.4,450000,25.6,18.9,55.5
Meghalaya,6.7,135000,7.1,6.2,380000,22.8,20.5,56.7
Mizoram,6.8,145000,6.9,6.1,320000,20.5,18.9,60.6
Nagaland,6.6,125000,7.5,6.3,280000,25.8,16.2,58.0
Odisha,7.3,135000,6.1,5.8,5800000,20.8,38.5,40.7
Punjab,6.8,175000,6.8,6.0,6500000,25.6,25.8,48.6
Rajasthan,7.1,145000,6.5,5.9,8500000,25.8,28.9,45.3
Sikkim,7.2,185000,5.8,5.6,180000,15.6,42.8,41.6
Tamil Nadu,7.3,175000,6.2,5.9,18500000,15.8,32.5,51.7
Telangana,7.7,185000,5.8,5.6,9500000,18.5,28.9,52.6
Tripura,6.9,125000,7.2,6.1,380000,22.8,25.6,51.6
Uttar Pradesh,7.0,95000,7.8,6.3,18500000,23.5,25.8,50.7
Uttarakhand,7.4,165000,5.9,5.7,2800000,18.9,35.6,45.5
West Bengal,7.2,145000,6.8,6.0,12500000,18.5,25.8,55.7
Delhi,7.8,285000,4.8,5.2,8500000,2.8,18.9,78.3
Jammu and Kashmir,6.9,145000,6.8,6.1,2800000,18.5,25.6,55.9
Ladakh,7.1,165000,6.2,5.8,180000,15.8,28.9,55.3
Chandigarh,7.5,285000,4.5,5.1,850000,2.5,25.8,71.7
Dadra and Nagar Haveli,7.8,185000,4.8,5.3,180000,8.5,65.2,26.3
Daman and Diu,7.2,185000,5.2,5.5,120000,8.9,58.9,32.2
Lakshadweep,6.8,165000,6.5,5.8,45000,15.6,25.8,58.6
Puducherry,7.1,185000,6.2,5.9,380000,8.5,35.6,55.9
Andaman and Nicobar Islands,6.9,165000,6.8,6.0,180000,12.8,28.9,58.3
