State,Population,Male,Female,Literacy_Rate,Households,Urban_Population,Rural_Population
Andhra Pradesh,49577103,24840133,24736970,67.02,12711000,14641000,34936103
Arunachal Pradesh,1383727,713912,669815,65.38,270000,320000,1063727
Assam,31205576,15939438,15266138,72.19,6400000,5900000,25305576
Bihar,104099452,54278157,49821295,61.80,20000000,11000000,93099452
Chhattisgarh,25545198,12827915,12717283,70.28,5500000,5900000,19645198
Goa,1458545,739140,719405,87.40,330000,670000,788545
Gujarat,60439692,31491260,28948432,78.03,12000000,25700000,34739692
Haryana,25351462,13494734,11856728,75.55,5300000,8800000,16551462
Himachal Pradesh,6864602,3473892,3390710,82.80,1500000,610000,6254602
Jharkhand,32988134,16930315,16057819,66.41,6400000,7900000,25088134
Karnataka,61095297,30966657,30128640,75.36,13000000,23600000,37495297
Kerala,33406061,16027412,17378649,94.00,7700000,15900000,17506061
Madhya Pradesh,72626809,37612306,35014503,69.32,15000000,20000000,52626809
Maharashtra,112374333,58243056,54131277,82.34,24000000,41000000,71374333
Manipur,2855794,1438666,1417128,76.94,520000,830000,2025794
Meghalaya,2966889,1496678,1470211,74.43,580000,590000,2376889
Mizoram,1097206,555339,541867,91.33,220000,440000,657206
Nagaland,1978502,1024653,953849,79.55,380000,570000,1408502
Odisha,41974218,21212136,20762082,72.87,8500000,7000000,34974218
Punjab,27743338,14639465,13103873,75.84,5500000,10300000,17443338
Rajasthan,68548437,35550997,32997440,66.11,13000000,17000000,51548437
Sikkim,610577,323070,287507,81.42,120000,160000,450577
Tamil Nadu,72147030,36113715,36033315,80.09,16000000,35000000,37147030
Telangana,35003674,17704866,17298808,66.46,7800000,14000000,21003674
Tripura,3673917,1856356,1817561,87.22,780000,960000,2713917
Uttar Pradesh,199812341,104480510,95331831,67.68,33000000,44000000,155812341
Uttarakhand,10086292,5137773,4948519,78.82,2000000,3000000,7086292
West Bengal,91276115,46809027,44467088,76.26,20000000,29000000,62276115
Delhi,16787941,8977250,7810691,86.21,3300000,16300000,487941
Jammu and Kashmir,12267032,6480431,5786601,67.16,2400000,910000,3367032
Ladakh,274289,147487,126802,77.20,52000,89000,185289
Chandigarh,1055450,580663,474787,86.05,220000,960000,955450
Dadra and Nagar Haveli,586956,303916,283040,76.24,120000,170000,416956
Daman and Diu,243247,150301,92946,87.10,52000,180000,63247
Lakshadweep,64473,33106,31367,91.85,12000,44000,20473
Puducherry,1247953,612511,635442,85.44,300000,850000,397953
Andaman and Nicobar Islands,380581,202330,178251,86.27,84000,150000,230581
